precision,recall,f1,ap,ndcg
0.5,0.025380710659898477,0.04830917874396135,0.014865844815083394,0.8033143750728156
0.1,1.0,0.18181818181818182,0.16666666666666666,0.3562071871080222
1.0,0.029239766081871343,0.056818181818181816,0.029239766081871343,1.0
0.7,0.0175,0.03414634146341464,0.015476190476190475,0.9610742864774044
1.0,0.02717391304347826,0.05291005291005291,0.02717391304347826,1.0
0.4,0.011461318051575931,0.022284122562674095,0.008882521489971347,0.910853251331002
1.0,0.02127659574468085,0.04166666666666667,0.02127659574468085,1.0
1.0,0.029940119760479042,0.058139534883720936,0.029940119760479042,1.0
0.9,0.14285714285714285,0.24657534246575338,0.14285714285714285,1.0
0.4,0.006968641114982578,0.0136986301369863,0.0022067363530778165,0.5204370438439433
0.1,0.004464285714285714,0.008547008547008546,0.000496031746031746,0.3010299956639812
0.3,0.030612244897959183,0.05555555555555555,0.01020408163265306,0.5430667908374095
0.1,0.5,0.16666666666666669,0.25,0.6309297535714575
0.6,0.013333333333333334,0.026086956521739132,0.007604938271604938,0.7333092164806385
0.4,0.36363636363636365,0.380952380952381,0.11969696969696968,0.5375449618872555
1.0,0.024096385542168676,0.047058823529411764,0.024096385542168676,1.0
0.3,0.008670520231213872,0.01685393258426966,0.007947976878612716,0.9674679834891693
0.6,0.015345268542199489,0.02992518703241895,0.013463646328096456,0.958214983820857
0.1,1.0,0.18181818181818182,0.125,0.31546487678572877
0.7,0.05555555555555555,0.10294117647058822,0.03304043839758125,0.738689504510803
0.5,0.016233766233766232,0.03144654088050314,0.010049474335188619,0.8268261278669169
1.0,0.02262443438914027,0.04424778761061947,0.02262443438914027,1.0
1.0,0.03289473684210526,0.06369426751592357,0.03289473684210526,1.0
0.8,0.1951219512195122,0.3137254901960785,0.1416763453348819,0.8631997506525685
0.3,0.02158273381294964,0.04026845637583893,0.012709832134292566,0.7122630665145961
0.8,0.1568627450980392,0.2622950819672131,0.13649237472766884,0.9560094522876519
0.7,0.19444444444444445,0.30434782608695654,0.1527777777777778,0.9011178066338841
0.7,0.059322033898305086,0.109375,0.03896287328490718,0.7729117820572334
0.3,0.05454545454545454,0.0923076923076923,0.05454545454545454,1.0
1.0,0.025974025974025976,0.05063291139240507,0.025974025974025976,1.0
1.0,0.0353356890459364,0.06825938566552901,0.0353356890459364,1.0
